event_id,organizer_id,name,date,time,duration,address,postalcode,time_of_day,physical_intensity,tags
E0018,1000013,Swimming Meetup,2025-05-13,12:45,45,"17209 Wood Roads Apt. 772, Toronto, ON M9A 0B5",M9A 0B5,Afternoon,Low,"Hiking, Social, Swimming, Build Strength, Weight Loss, Group Fitness Class"
E0019,1000444,Jogging Meetup,2025-05-13,12:00,75,"6863 Browning Drive Apt. 777, Toronto, ON M9A 2V6",M9A 2V6,Lunch,High,"Improve Health, Weight Training, Training, Jogging, Reduce Stress, Group Fitness Class"
E0020,1000190,Yoga Meetup,2025-05-18,12:00,120,"21278 Amber Curve Suite 465, Toronto, ON M9A 0B2",M9A 0B2,Mid Morning,High,"Social, Swimming, Cycling, Build Strength, Yoga, Reduce Stress"
E0021,1000448,Weight Training Meetup,2025-05-13,12:00,90,"884 Aaron Mountain Suite 697, Toronto, ON M9A 0B5",M9A 0B5,Mid Morning,High,"Team Sports, Weight Training, Social, Build Strength, Reduce Stress, Pilates"
E0022,1000132,Cycling Meetup,2025-05-12,12:00,75,"88894 Reeves Underpass, Toronto, ON M9A 0B2",M9A 0B2,Lunch,Low,"Improve Health, Running, Cycling, Weight Loss, Training, Pilates"
E0023,1000064,Training Meetup,2025-05-14,20:15,90,"48217 Blake Mountain, Toronto, ON M9A 2V6",M9A 2V6,Late Evening,High,"Team Sports, Improve Health, Weight Training, Build Strength, Training, Pilates"
E0024,1000404,Pilates Meetup,2025-05-17,19:00,45,"87081 Williams Roads, Toronto, ON M9A 0A4",M9A 0A4,Late Evening,Medium,"Running, Social, Training, Jogging, Reduce Stress, Pilates"
E0025,1000426,Social Meetup,2025-05-13,12:00,120,"8066 Michael Springs Apt. 157, Toronto, ON M9A 2V6",M9A 2V6,Evening,High,"Improve Health, Social, Cycling, Walking, Training, Pilates"
E0026,1000346,Training Meetup,2025-05-17,12:00,30,"2537 Turner Plaza Suite 249, Toronto, ON M9A 2V5",M9A 2V5,Evening,High,"Weight Training, Hiking, Weight Loss, Yoga, Training, Reduce Stress"
E0027,1000209,Pilates Meetup,2025-05-13,13:00,120,"9730 Diane Loaf, Toronto, ON M9A 2V6",M9A 2V6,Afternoon,Medium,"Social, Walking, Build Strength, Jogging, Reduce Stress, Pilates"
E0028,1000188,Weight Loss Meetup,2025-05-12,12:00,90,"2135 Lewis Lakes, Toronto, ON M9A 0A6",M9A 0A6,Lunch,High,"Hiking, Running, Social, Weight Loss, Reduce Stress, Group Fitness Class"
E0029,1000327,Build Strength Meetup,2025-05-17,15:15,30,"456 Hall Loaf Suite 652, Toronto, ON M9A 0A6",M9A 0A6,Afternoon,Low,"Running, Walking, Build Strength, Weight Loss, Yoga, Reduce Stress"
E0030,1000339,Weight Loss Meetup,2025-05-13,12:00,120,"2142 Brian Rapid Suite 264, Toronto, ON M9A 0B5",M9A 0B5,Evening,Medium,"Team Sports, Improve Health, Hiking, Build Strength, Weight Loss, Jogging"
E0031,1000034,Swimming Meetup,2025-05-17,12:00,60,"7842 Nelson Walk, Toronto, ON M9A 2V6",M9A 2V6,Mid Morning,Medium,"Improve Health, Hiking, Swimming, Build Strength, Training, Group Fitness Class"
E0032,1000383,Social Meetup,2025-05-12,7:45,75,"9127 Dylan Gateway Apt. 487, Toronto, ON M9A 2V5",M9A 2V5,Early Morning,Low,"Social, Yoga, Training, Jogging, Reduce Stress, Pilates"
E0033,1000486,Social Meetup,2025-05-14,14:15,60,"89562 Chang Trafficway, Toronto, ON M9A 2V5",M9A 2V5,Afternoon,Medium,"Team Sports, Improve Health, Social, Cycling, Reduce Stress, Pilates"
E0034,1000151,Pilates Meetup,2025-05-15,12:00,45,"96156 Jonathan Grove, Toronto, ON M9A 2V5",M9A 2V5,Mid Morning,Low,"Improve Health, Walking, Weight Loss, Yoga, Reduce Stress, Pilates"
E0035,1000302,Weight Loss Meetup,2025-05-15,12:00,30,"4688 John Inlet, Toronto, ON M9A 0A6",M9A 0A6,Mid Morning,Medium,"Team Sports, Improve Health, Weight Training, Hiking, Build Strength, Weight Loss"
E0036,1000471,Social Meetup,2025-05-17,12:00,30,"5728 Victoria Mountain, Toronto, ON M9A 0A5",M9A 0A5,Evening,Low,"Hiking, Social, Walking, Build Strength, Yoga, Training"
E0037,1000138,Improve Health Meetup,2025-05-16,8:45,45,"771 Bradley Crescent, Toronto, ON M9A 0B5",M9A 0B5,Early Morning,Low,"Improve Health, Swimming, Walking, Weight Loss, Yoga, Reduce Stress"
E0038,1000478,Social Meetup,2025-05-17,12:00,60,"2504 Hardy Ferry, Toronto, ON M9A 0A6",M9A 0A6,Lunch,Medium,"Team Sports, Social, Cycling, Build Strength, Weight Loss, Pilates"
E0039,1000124,Social Meetup,2025-05-18,8:00,90,"608 Hodge Valley Apt. 331, Toronto, ON M9A 2V5",M9A 2V5,Early Morning,Low,"Improve Health, Running, Social, Cycling, Build Strength, Group Fitness Class"
E0040,1000149,Team Sports Meetup,2025-05-17,12:00,120,"61051 Frederick Mews Apt. 739, Toronto, ON M9A 0B5",M9A 0B5,Lunch,Low,"Team Sports, Weight Training, Social, Cycling, Build Strength, Training"
E0041,1000053,Swimming Meetup,2025-05-17,12:00,30,"25967 James Row Apt. 633, Toronto, ON M9A 0A4",M9A 0A4,Evening,Low,"Team Sports, Improve Health, Swimming, Weight Loss, Reduce Stress, Pilates"
E0042,1000143,Improve Health Meetup,2025-05-15,7:45,90,"505 Sanders Ville, Toronto, ON M9A 0B5",M9A 0B5,Early Morning,Medium,"Improve Health, Weight Training, Swimming, Cycling, Training, Reduce Stress"
E0043,1000392,Jogging Meetup,2025-05-18,12:00,60,"860 Carroll Gateway, Toronto, ON M9A 2V6",M9A 2V6,Evening,High,"Weight Training, Build Strength, Training, Jogging, Reduce Stress, Pilates"
E0044,1000064,Pilates Meetup,2025-05-16,20:30,60,"07733 Snyder Alley Apt. 908, Toronto, ON M9A 2V5",M9A 2V5,Late Evening,High,"Team Sports, Improve Health, Weight Training, Build Strength, Training, Pilates"
E0045,1000078,Group Fitness Class Meetup,2025-05-15,13:00,75,"8310 Davis Coves Apt. 711, Toronto, ON M9A 0A6",M9A 0A6,Afternoon,Medium,"Improve Health, Social, Swimming, Yoga, Reduce Stress, Group Fitness Class"
E0046,1000360,Cycling Meetup,2025-05-13,8:30,90,"4819 Christian Inlet, Toronto, ON M9A 0A4",M9A 0A4,Early Morning,Low,"Running, Social, Cycling, Weight Loss, Training, Pilates"
E0047,1000001,Training Meetup,2025-05-17,6:00,75,"8330 Michelle Crossroad Suite 076, Toronto, ON M9A 0B5",M9A 0B5,Early Morning,High,"Improve Health, Walking, Weight Loss, Training, Jogging, Pilates"
E0048,1000079,Weight Loss Meetup,2025-05-14,12:00,75,"7525 Elizabeth Shores, Toronto, ON M9A 0A5",M9A 0A5,Evening,High,"Weight Training, Hiking, Walking, Build Strength, Weight Loss, Training"
E0049,1000464,Running Meetup,2025-05-14,6:00,90,"96425 Levine Dale Apt. 408, Toronto, ON M9A 0A3",M9A 0A3,Early Morning,Medium,"Running, Social, Walking, Build Strength, Weight Loss, Yoga"
E0050,1000422,Jogging Meetup,2025-05-14,8:00,90,"53625 Rodriguez Parkways, Toronto, ON M9A 0A6",M9A 0A6,Early Morning,Low,"Walking, Build Strength, Weight Loss, Jogging, Reduce Stress, Group Fitness Class"
E0051,1000080,Group Fitness Class Meetup,2025-05-15,8:45,30,"20103 Ruiz Loaf, Toronto, ON M9A 0A4",M9A 0A4,Early Morning,Medium,"Social, Swimming, Walking, Build Strength, Training, Group Fitness Class"
E0052,1000083,Jogging Meetup,2025-05-16,20:15,75,"601 Samuel Glens Apt. 912, Toronto, ON M9A 0A4",M9A 0A4,Late Evening,Medium,"Team Sports, Hiking, Build Strength, Weight Loss, Jogging, Reduce Stress"
E0053,1000488,Pilates Meetup,2025-05-12,12:00,90,"16843 Carolyn Canyon, Toronto, ON M9A 2V6",M9A 2V6,Evening,High,"Social, Cycling, Walking, Build Strength, Reduce Stress, Pilates"
E0054,1000381,Team Sports Meetup,2025-05-15,12:00,90,"8915 Jerry Club Suite 964, Toronto, ON M9A 2V6",M9A 2V6,Mid Morning,Medium,"Team Sports, Weight Training, Social, Cycling, Build Strength, Training"
E0055,1000380,Reduce Stress Meetup,2025-05-12,12:00,60,"2738 Kerr Drives, Toronto, ON M9A 0A4",M9A 0A4,Mid Morning,Medium,"Social, Swimming, Cycling, Walking, Weight Loss, Reduce Stress"
E0056,1000038,Improve Health Meetup,2025-05-14,8:30,60,"6223 Stephanie Village, Toronto, ON M9A 0A6",M9A 0A6,Early Morning,Medium,"Improve Health, Running, Swimming, Cycling, Weight Loss, Reduce Stress"
E0057,1000381,Build Strength Meetup,2025-05-18,12:00,60,"953 Fernando Heights Suite 711, Toronto, ON M9A 0A5",M9A 0A5,Mid Morning,Low,"Team Sports, Weight Training, Social, Cycling, Build Strength, Training"
E0058,1000329,Group Fitness Class Meetup,2025-05-14,12:00,120,"7507 Lewis Plains, Toronto, ON M9A 0A3",M9A 0A3,Mid Morning,High,"Weight Training, Build Strength, Weight Loss, Yoga, Training, Group Fitness Class"
E0059,1000261,Social Meetup,2025-05-13,21:00,90,"14376 William Plain Suite 503, Toronto, ON M9A 0A5",M9A 0A5,Late Evening,High,"Improve Health, Running, Social, Cycling, Build Strength, Yoga"
E0060,1000335,Weight Loss Meetup,2025-05-15,12:00,75,"68160 Daniel Flats, Toronto, ON M9A 0A3",M9A 0A3,Lunch,Medium,"Improve Health, Running, Swimming, Walking, Weight Loss, Reduce Stress"
E0061,1000410,Team Sports Meetup,2025-05-17,20:45,30,"478 Wallace Circle, Toronto, ON M9A 0B2",M9A 0B2,Late Evening,Medium,"Team Sports, Hiking, Social, Cycling, Weight Loss, Training"
E0062,1000208,Weight Loss Meetup,2025-05-13,12:00,45,"721 French Mall, Toronto, ON M9A 2V5",M9A 2V5,Mid Morning,Medium,"Weight Training, Hiking, Social, Walking, Weight Loss, Training"
E0063,1000309,Reduce Stress Meetup,2025-05-16,14:30,90,"128 Linda Lakes Apt. 005, Toronto, ON M9A 0A5",M9A 0A5,Afternoon,Low,"Weight Training, Running, Social, Weight Loss, Reduce Stress, Pilates"
E0064,1000074,Weight Loss Meetup,2025-05-14,13:15,90,"5644 Natalie Islands, Toronto, ON M9A 0A4",M9A 0A4,Afternoon,Medium,"Weight Training, Running, Social, Weight Loss, Jogging, Reduce Stress"
E0065,1000019,Training Meetup,2025-05-18,12:00,90,"291 Richard Mall Apt. 572, Toronto, ON M9A 2V6",M9A 2V6,Mid Morning,Low,"Team Sports, Running, Build Strength, Yoga, Training, Reduce Stress"
E0066,1000357,Reduce Stress Meetup,2025-05-15,13:45,60,"347 Colton Valleys, Toronto, ON M9A 0A5",M9A 0A5,Afternoon,Medium,"Team Sports, Weight Training, Cycling, Build Strength, Training, Reduce Stress"
E0067,1000283,Social Meetup,2025-05-12,12:00,90,"746 Meyer Walk Apt. 084, Toronto, ON M9A 2V6",M9A 2V6,Lunch,Low,"Team Sports, Weight Training, Social, Build Strength, Reduce Stress, Pilates"
E0068,1000050,Team Sports Meetup,2025-05-17,12:00,90,"120 Christopher Ridge, Toronto, ON M9A 0A4",M9A 0A4,Evening,Medium,"Team Sports, Running, Walking, Weight Loss, Training, Reduce Stress"
E0069,1000131,Weight Loss Meetup,2025-05-17,15:30,45,"847 Kristi Point, Toronto, ON M9A 0B5",M9A 0B5,Afternoon,Medium,"Weight Training, Hiking, Build Strength, Weight Loss, Reduce Stress, Group Fitness Class"
E0070,1000031,Weight Loss Meetup,2025-05-12,12:00,120,"87535 Miles Trace, Toronto, ON M9A 0A5",M9A 0A5,Lunch,High,"Improve Health, Hiking, Swimming, Build Strength, Weight Loss, Yoga"
E0071,1000333,Walking Meetup,2025-05-13,7:15,45,"5326 Vargas Course Suite 255, Toronto, ON M9A 0A6",M9A 0A6,Early Morning,Low,"Improve Health, Swimming, Walking, Weight Loss, Yoga, Reduce Stress"
E0072,1000116,Weight Loss Meetup,2025-05-12,12:00,30,"857 Fry Walk Suite 196, Toronto, ON M9A 0A3",M9A 0A3,Evening,Low,"Cycling, Walking, Weight Loss, Training, Jogging, Reduce Stress"
E0073,1000288,Social Meetup,2025-05-15,21:30,45,"0830 Sarah Square, Toronto, ON M9A 0B2",M9A 0B2,Late Evening,High,"Running, Social, Build Strength, Training, Jogging, Group Fitness Class"
E0074,1000159,Training Meetup,2025-05-12,12:00,30,"3445 Myers Streets, Toronto, ON M9A 0A6",M9A 0A6,Mid Morning,Medium,"Team Sports, Swimming, Walking, Build Strength, Weight Loss, Training"
E0075,1000028,Hiking Meetup,2025-05-12,12:00,45,"9779 Kathleen Pine Suite 935, Toronto, ON M9A 2V5",M9A 2V5,Mid Morning,High,"Hiking, Social, Swimming, Cycling, Weight Loss, Reduce Stress"
E0076,1000071,Jogging Meetup,2025-05-16,21:15,60,"526 Melvin Mall Suite 507, Toronto, ON M9A 0B2",M9A 0B2,Late Evening,Low,"Social, Swimming, Build Strength, Weight Loss, Jogging, Pilates"
E0077,1000268,Reduce Stress Meetup,2025-05-15,7:15,75,"19414 Parker Avenue, Toronto, ON M9A 0B2",M9A 0B2,Early Morning,High,"Running, Social, Walking, Weight Loss, Jogging, Reduce Stress"
E0078,1000075,Weight Loss Meetup,2025-05-14,12:45,90,"13207 Ricky Mall, Toronto, ON M9A 0A5",M9A 0A5,Afternoon,Medium,"Improve Health, Weight Training, Running, Weight Loss, Jogging, Reduce Stress"
E0079,1000095,Team Sports Meetup,2025-05-12,20:45,30,"655 Powell Plains Apt. 018, Toronto, ON M9A 0A3",M9A 0A3,Late Evening,High,"Team Sports, Improve Health, Swimming, Build Strength, Weight Loss, Jogging"
E0080,1000128,Pilates Meetup,2025-05-14,12:00,120,"3165 Robert Freeway, Toronto, ON M9A 2V5",M9A 2V5,Mid Morning,Low,"Improve Health, Pilates, Social, Walking, Training, Group Fitness Class"
E0081,1000092,Build Strength Meetup,2025-05-16,12:00,60,"9942 Stephanie Camp Suite 706, Toronto, ON M9A 0B5",M9A 0B5,Lunch,Medium,"Improve Health, Hiking, Social, Cycling, Build Strength, Yoga"
E0082,1000413,Pilates Meetup,2025-05-13,12:00,75,"17170 Green Fords Apt. 062, Toronto, ON M9A 0A6",M9A 0A6,Mid Morning,Low,"Weight Training, Social, Swimming, Training, Reduce Stress, Pilates"
E0083,1000233,Reduce Stress Meetup,2025-05-17,12:00,90,"74924 English Trail, Toronto, ON M9A 2V6",M9A 2V6,Mid Morning,High,"Improve Health, Weight Training, Swimming, Cycling, Weight Loss, Reduce Stress"
E0084,1000179,Social Meetup,2025-05-15,12:00,30,"5912 Joseph Spurs Apt. 750, Toronto, ON M9A 2V5",M9A 2V5,Evening,Low,"Running, Social, Swimming, Build Strength, Reduce Stress, Group Fitness Class"
E0085,1000379,Build Strength Meetup,2025-05-16,12:00,120,"704 Alexis Isle, Toronto, ON M9A 0A5",M9A 0A5,Evening,Medium,"Improve Health, Swimming, Build Strength, Training, Jogging, Group Fitness Class"
E0086,1000070,Training Meetup,2025-05-14,12:00,30,"0022 Sheppard Rue Suite 340, Toronto, ON M9A 0A5",M9A 0A5,Lunch,High,"Improve Health, Social, Swimming, Cycling, Training, Pilates"
E0087,1000163,Cycling Meetup,2025-05-17,19:00,90,"076 Christopher Green, Toronto, ON M9A 0A3",M9A 0A3,Late Evening,Low,"Improve Health, Weight Training, Cycling, Build Strength, Weight Loss, Yoga"
E0088,1000041,Pilates Meetup,2025-05-12,12:00,45,"06242 Rosario Wall Apt. 237, Toronto, ON M9A 2V5",M9A 2V5,Mid Morning,High,"Improve Health, Pilates, Swimming, Weight Loss, Training, Group Fitness Class"
E0089,1000262,Jogging Meetup,2025-05-14,12:15,120,"9714 Amanda Flats, Toronto, ON M9A 0A4",M9A 0A4,Afternoon,Medium,"Team Sports, Improve Health, Social, Cycling, Weight Loss, Jogging"
E0090,1000457,Social Meetup,2025-05-16,13:45,120,"14244 Mccarthy Skyway, Toronto, ON M9A 0A3",M9A 0A3,Afternoon,Low,"Improve Health, Running, Social, Walking, Build Strength, Jogging"
E0091,1000368,Group Fitness Class Meetup,2025-05-15,13:00,75,"5354 Shelton Isle Apt. 603, Toronto, ON M9A 0A3",M9A 0A3,Afternoon,Low,"Improve Health, Social, Yoga, Jogging, Reduce Stress, Group Fitness Class"
E0092,1000191,Team Sports Meetup,2025-05-14,12:00,75,"84350 Andrea Mills, Toronto, ON M9A 0A5",M9A 0A5,Evening,High,"Team Sports, Improve Health, Weight Training, Cycling, Build Strength, Reduce Stress"
E0093,1000077,Jogging Meetup,2025-05-18,12:00,60,"6353 William Pine, Toronto, ON M9A 0A6",M9A 0A6,Evening,High,"Improve Health, Social, Yoga, Jogging, Reduce Stress, Pilates"
E0094,1000450,Build Strength Meetup,2025-05-18,12:00,45,"418 Cindy Squares, Toronto, ON M9A 0A5",M9A 0A5,Mid Morning,High,"Team Sports, Group Fitness Class, Social, Build Strength, Reduce Stress, Pilates"
E0095,1000342,Pilates Meetup,2025-05-15,12:00,60,"316 Austin Skyway Suite 880, Toronto, ON M9A 0A3",M9A 0A3,Afternoon,Medium,"Hiking, Build Strength, Weight Loss, Yoga, Reduce Stress, Pilates"
E0096,1000149,Social Meetup,2025-05-14,12:00,90,"50142 Stanton Square Suite 357, Toronto, ON M9A 0B5",M9A 0B5,Evening,High,"Team Sports, Weight Training, Social, Cycling, Build Strength, Training"
E0097,1000331,Reduce Stress Meetup,2025-05-16,12:00,30,"6645 Brock Loop Suite 363, Toronto, ON M9A 2V5",M9A 2V5,Mid Morning,Low,"Team Sports, Hiking, Social, Cycling, Weight Loss, Reduce Stress"
E0098,1000122,Running Meetup,2025-05-14,19:30,45,"044 Wheeler Forges, Toronto, ON M9A 0A4",M9A 0A4,Late Evening,Medium,"Improve Health, Running, Social, Cycling, Build Strength, Jogging"
E0099,1000378,Hiking Meetup,2025-05-13,20:15,60,"99772 House Gardens, Toronto, ON M9A 0B5",M9A 0B5,Late Evening,Low,"Team Sports, Hiking, Swimming, Build Strength, Weight Loss, Reduce Stress"
E0100,1000263,Jogging Meetup,2025-05-16,7:00,90,"68457 Vaughn Overpass, Toronto, ON M9A 0B2",M9A 0B2,Early Morning,Low,"Team Sports, Improve Health, Running, Weight Loss, Training, Jogging"
E0101,1000238,Group Fitness Class Meetup,2025-05-13,12:00,30,"8727 William Lane Apt. 550, Toronto, ON M9A 0B5",M9A 0B5,Lunch,Low,"Hiking, Social, Build Strength, Yoga, Reduce Stress, Group Fitness Class"
E0102,1000091,Swimming Meetup,2025-05-12,20:30,90,"75139 Guerrero Falls, Toronto, ON M9A 0A4",M9A 0A4,Late Evening,Medium,"Improve Health, Social, Swimming, Walking, Training, Group Fitness Class"
E0103,1000001,Improve Health Meetup,2025-05-16,13:15,120,"4869 Adams Walks Apt. 318, Toronto, ON M9A 0B2",M9A 0B2,Afternoon,Medium,"Improve Health, Walking, Weight Loss, Training, Jogging, Pilates"
E0104,1000362,Cycling Meetup,2025-05-12,12:00,120,"7279 Dominic Alley Suite 399, Toronto, ON M9A 2V5",M9A 2V5,Mid Morning,Medium,"Cycling, Build Strength, Training, Jogging, Reduce Stress, Group Fitness Class"
E0105,1000349,Build Strength Meetup,2025-05-12,7:45,60,"1409 Le Gardens Apt. 985, Toronto, ON M9A 2V5",M9A 2V5,Early Morning,High,"Cycling, Walking, Build Strength, Weight Loss, Jogging, Reduce Stress"
E0106,1000488,Pilates Meetup,2025-05-17,15:15,120,"214 Burke Harbor Apt. 338, Toronto, ON M9A 0B2",M9A 0B2,Afternoon,Medium,"Social, Cycling, Walking, Build Strength, Reduce Stress, Pilates"
E0107,1000390,Weight Loss Meetup,2025-05-16,14:00,60,"133 Morales Plaza, Toronto, ON M9A 2V6",M9A 2V6,Afternoon,High,"Swimming, Build Strength, Walking, Weight Loss, Reduce Stress, Pilates"
E0108,1000308,Improve Health Meetup,2025-05-14,7:45,120,"974 Medina Estate, Toronto, ON M9A 0B2",M9A 0B2,Early Morning,Low,"Improve Health, Weight Training, Walking, Weight Loss, Training, Jogging"
E0109,1000356,Jogging Meetup,2025-05-18,20:15,30,"26946 Newman Port Suite 417, Toronto, ON M9A 2V5",M9A 2V5,Late Evening,Medium,"Improve Health, Group Fitness Class, Build Strength, Training, Jogging, Pilates"
E0110,1000342,Yoga Meetup,2025-05-16,12:00,45,"6001 Lindsey Parkways Suite 114, Toronto, ON M9A 0A4",M9A 0A4,Mid Morning,Medium,"Hiking, Build Strength, Weight Loss, Yoga, Reduce Stress, Pilates"
E0111,1000119,Training Meetup,2025-05-16,6:00,45,"24218 Quinn Glen Apt. 263, Toronto, ON M9A 2V6",M9A 2V6,Early Morning,High,"Improve Health, Running, Cycling, Build Strength, Training, Pilates"
E0112,1000416,Walking Meetup,2025-05-14,12:00,75,"02495 Hernandez Key Suite 387, Toronto, ON M9A 0A6",M9A 0A6,Evening,Medium,"Improve Health, Walking, Weight Loss, Jogging, Reduce Stress, Group Fitness Class"
E0113,1000450,Reduce Stress Meetup,2025-05-18,12:00,60,"572 Martinez Common, Toronto, ON M9A 0B5",M9A 0B5,Evening,Low,"Team Sports, Group Fitness Class, Social, Build Strength, Reduce Stress, Pilates"
E0114,1000138,Reduce Stress Meetup,2025-05-16,12:15,30,"297 Norris Port, Toronto, ON M9A 2V6",M9A 2V6,Afternoon,Low,"Improve Health, Swimming, Walking, Weight Loss, Yoga, Reduce Stress"
E0115,1000054,Yoga Meetup,2025-05-14,20:30,75,"269 Williams Track Apt. 221, Toronto, ON M9A 2V6",M9A 2V6,Late Evening,High,"Weight Training, Swimming, Build Strength, Weight Loss, Yoga, Training"
E0116,1000295,Yoga Meetup,2025-05-15,19:15,30,"126 Mcgrath Forks Suite 973, Toronto, ON M9A 0B5",M9A 0B5,Late Evening,Medium,"Hiking, Running, Build Strength, Yoga, Training, Reduce Stress"
E0117,1000409,Weight Loss Meetup,2025-05-15,12:00,75,"4235 Shields Island, Toronto, ON M9A 0B2",M9A 0B2,Evening,Low,"Improve Health, Cycling, Build Strength, Weight Loss, Jogging, Pilates"
E0118,1000375,Training Meetup,2025-05-12,12:00,90,"24758 Dustin Viaduct Suite 334, Toronto, ON M9A 0B2",M9A 0B2,Lunch,High,"Group Fitness Class, Running, Social, Build Strength, Training, Pilates"
E0119,1000456,Weight Training Meetup,2025-05-18,8:15,75,"825 Laura Hill Apt. 604, Toronto, ON M9A 0A5",M9A 0A5,Early Morning,Medium,"Team Sports, Improve Health, Weight Training, Running, Build Strength, Weight Loss"
E0120,1000366,Team Sports Meetup,2025-05-14,21:30,45,"70670 Jennifer View Apt. 208, Toronto, ON M9A 0A4",M9A 0A4,Late Evening,Medium,"Team Sports, Running, Social, Build Strength, Reduce Stress, Pilates"
E0121,1000425,Hiking Meetup,2025-05-13,14:15,75,"87140 Green Glens Suite 853, Toronto, ON M9A 0A3",M9A 0A3,Afternoon,High,"Improve Health, Hiking, Weight Loss, Training, Jogging, Pilates"
E0122,1000312,Build Strength Meetup,2025-05-17,12:00,30,"634 George Knolls, Toronto, ON M9A 0A5",M9A 0A5,Evening,Medium,"Team Sports, Running, Walking, Build Strength, Training, Reduce Stress"
E0123,1000439,Weight Training Meetup,2025-05-15,12:00,60,"50997 Kaitlyn Route, Toronto, ON M9A 0A3",M9A 0A3,Mid Morning,Medium,"Improve Health, Weight Training, Walking, Build Strength, Training, Pilates"
E0124,1000222,Improve Health Meetup,2025-05-16,12:00,45,"93568 Nicholas Stream Apt. 430, Toronto, ON M9A 0B2",M9A 0B2,Evening,High,"Improve Health, Weight Training, Swimming, Cycling, Build Strength, Weight Loss"
E0125,1000219,Reduce Stress Meetup,2025-05-13,8:45,60,"050 Johnson Loaf, Toronto, ON M9A 2V5",M9A 2V5,Early Morning,Medium,"Team Sports, Social, Training, Jogging, Reduce Stress, Pilates"
